filename,n_simplicies,time
01_sphere.txt,       5, .00000800                                         
02_sphere.txt,      13, .00000400                                         
03_sphere.txt,      29, .00001500                                         
04_sphere.txt,      61, .00003000                                         
05_sphere.txt,     125, .00006500                                         
06_sphere.txt,     253, .00017100                                         
07_sphere.txt,     509, .00046800                                         
08_sphere.txt,    1021, .00123400                                         
09_sphere.txt,    2045, .00349700                                         
10_sphere.txt,    4093, .01055300                                         
11_sphere.txt,    8189, .03754300                                         
12_sphere.txt,   16381, .13905100                                         
13_sphere.txt,   32765, .53613400                                         
14_sphere.txt,   65533, 2.03167000                                        
15_sphere.txt,  131069, 7.93006600                                        
16_sphere.txt,  262141, 31.29073700                                       
17_sphere.txt,  524285, 128.33820900                                      
